iter	MultiClass
0	1.034483788
1	0.9607765316
2	0.8960327004
3	0.8403744301
4	0.788628173
5	0.7498532798
6	0.7131168372
7	0.6758412537
8	0.6372675784
9	0.6104798077
10	0.5828281871
11	0.557589297
12	0.5302565794
13	0.5098136631
14	0.4879046599
15	0.467732811
16	0.4464575453
17	0.4283715625
18	0.4122835759
19	0.3982924068
20	0.3846396608
21	0.3711233408
22	0.3597010445
23	0.3497930714
24	0.3391406848
25	0.326926032
26	0.3163685771
27	0.3058266856
28	0.2974370911
29	0.2897611969
30	0.2813660229
31	0.2729864788
32	0.2653592657
33	0.2584336542
34	0.2508181069
35	0.2455489671
36	0.2375644457
37	0.2328631087
38	0.2276423554
39	0.2225628897
40	0.2178747115
41	0.2135664536
42	0.2088913091
43	0.2051630229
44	0.1990651767
45	0.1948695988
46	0.190410745
47	0.1874987896
48	0.184471919
49	0.1809434769
50	0.1776573438
51	0.1753058144
52	0.1722201392
53	0.1684306015
54	0.165564422
55	0.1624588696
56	0.15943489
57	0.1562928871
58	0.1537360223
59	0.1516334295
60	0.1487149242
61	0.1462364595
62	0.1442090856
63	0.1425646764
64	0.140422214
65	0.1382118892
66	0.1366837805
67	0.1350132028
68	0.1326772478
69	0.1297756473
70	0.1278918748
71	0.1257876901
72	0.1242604149
73	0.1219319058
74	0.1202199733
75	0.1181290201
76	0.1158542508
77	0.1136056191
78	0.1122125859
79	0.1105155649
80	0.1084432376
81	0.1069215546
82	0.105050655
83	0.1040860839
84	0.102776181
85	0.10129466
86	0.09996735182
87	0.09888496445
88	0.09746937232
89	0.09644461691
90	0.0951546967
91	0.09393327897
92	0.09226908573
93	0.09106754967
94	0.09000945062
95	0.08903710281
96	0.08783895269
97	0.08665769019
98	0.08520123768
99	0.08421976412
100	0.08301283406
101	0.08154984015
102	0.0805954102
103	0.07970478502
104	0.07886425648
105	0.07776231704
106	0.07708187917
107	0.07595124608
108	0.07513164005
109	0.07444365166
110	0.07325576835
111	0.07258055128
112	0.07215190375
113	0.07112231563
114	0.07006374148
115	0.06915098456
116	0.06845796243
117	0.06781383548
118	0.06717167504
119	0.0666495106
120	0.06617450863
121	0.06529662623
122	0.06453578824
123	0.06375608379
124	0.06320654262
125	0.06244981008
126	0.06166701741
127	0.06115945441
128	0.06073034373
129	0.06026546402
130	0.05959217168
131	0.05901545113
132	0.05860941965
133	0.05797841618
134	0.05733873266
135	0.0569120089
136	0.05622923038
137	0.05576772957
138	0.05531342418
139	0.05475593437
140	0.05410261305
141	0.05372409329
